ID,Year,MemberState,MfrGroup,MfrHarmonised,ApprovalNo,Make,CommercialName,Registrations,CO2,Mass,Wheelbase,SteeringAxle,OtherAxle,FuelType,FuelMode,EngineSize,Power,TechnolType,ITReduction
1,1,BE,DAIMLER AG,DAIMLER AG,E1*2001/11,Mercedes-Benz,E 250 CDI 4MATIC,9,169,1899,3117,1460,1634,Diesel,M,1939,159, ,-1
2,1,BE,DAIMLER AG,DAIMLER AG,E1*2007/46,Mercedes-Benz,CLS 350 CDI,9,164,1894,3117,1458,1646,Diesel,M,2703,207, ,-1
3,1,BE,DAIMLER AG,DAIMLER AG,E1*2001/11,Mercedes-Benz,R 300,1,254,2275,3232,1478,1636,Petrol,M,2711,181, ,-1
4,1,BE,DAIMLER AG,DAIMLER AG,E1*2001/11,Mercedes-Benz,S 250 CDI,11,151,2056,3291,1460,1651,Diesel,M,1939,159, ,-1
5,1,BE,DAIMLER AG,DAIMLER AG,E1*2007/46,Mercedes-Benz,E 350 BLUETEC,1,195,2040,3117,1446,1634,Diesel,M,2703,165, ,-1
6,1,BE,DAIMLER AG,DAIMLER AG,E1*2001/11,Mercedes-Benz,S 350,1,183,1993,3291,1460,1651,Petrol,M,3166,239, ,-1
7,1,BE,DAIMLER AG,DAIMLER AG,E1*98/14*0,Mercedes-Benz,SL 300,1,224,1894,2776,1432,1580,Petrol,M,2711,181, ,-1
8,1,BE,DAIMLER AG,DAIMLER AG,E1*2007/46,Mercedes-Benz,CLS 250 CDI,1,138,1863,3117,1458,1646,Diesel,M,1939,159, ,-1
9,1,BE,DAIMLER AG,DAIMLER AG,E1*2007/46,Mercedes-Benz,E 300 4MATIC,1,190,2003,3117,1446,1634,Petrol,M,3166,196, ,-1
10,1,BE,DAIMLER AG,DAIMLER AG,E1*2001/11,MERCEDES,GLK220CDI,3,183,1925,2988,1430,1613,Diesel,M,1939,127, ,-1
11,1,BE,DAIMLER AG,DAIMLER AG,E1*2001/11,Mercedes-Benz,C 250 CGI,1,174,1570,2993,1414,1559,Petrol,M,1625,159, ,-1
12,1,BE,DAIMLER AG,DAIMLER AG,E1*2001/11,Mercedes-Benz,C 350 4MATIC,1,180,1743,2993,1414,1559,Petrol,M,3166,239, ,-1
13,1,BE,DAIMLER AG,DAIMLER AG,E1*2001/11,Mercedes-Benz,A 180,1,156,1315,2785,1420,1590,Petrol,M,1538,90, ,-1
14,1,BE,DAIMLER AG,DAIMLER AG,E1*2001/11,Mercedes-Benz,C 180 CDI,6,135,1643,2993,1414,1559,Diesel,M,1939,93, ,-1
15,1,BE,DAIMLER AG,DAIMLER AG,E1*98/14*0,Mercedes-Benz,CLC 160,1,184,1555,2944,1390,1505,Petrol,M,1445,101, ,-1
16,1,BE,DAIMLER AG,DAIMLER AG,E1*2001/11,Mercedes-Benz,S 350 CDI 4MATIC,2,218,2118,3291,1460,1651,Diesel,M,2703,165, ,-1
17,1,BE,DAIMLER AG,DAIMLER AG,E1*2001/11,MERCEDES,E 250 CDI,1,163,1763,2993,1404,1579,Diesel,M,1939,159, ,-1
18,1,BE,DAIMLER AG,DAIMLER AG,E1*2001/11,Mercedes-Benz,GLK 220 CDI,2,160,1868,2988,1435,1613,Diesel,M,1939,127, ,-1
19,1,BE,DAIMLER AG,DAIMLER AG,E1*2007/46,Mercedes-Benz,E 350 4MATIC,1,190,2009,3117,1446,1634,Petrol,M,3166,239, ,-1
20,1,BE,DAIMLER AG,DAIMLER AG,E1*2001/11,Mercedes-Benz,E 220 CDI,39,148,1863,2993,1404,1579,Diesel,M,1939,127, ,-1
21,1,BE,DAIMLER AG,DAIMLER AG,E1*2007/46,Mercedes-Benz,Viano,1,223,2457,3470,1488,1675,Diesel,M,1939,127, ,-1
22,1,BE,DAIMLER AG,DAIMLER AG,E1*2007/46,Mercedes-Benz,E 350 CDI,1,175,2030,3117,1446,1634,Diesel,M,2703,207, ,-1
23,1,BE,DAIMLER AG,DAIMLER AG,E11*2001/1,Mercedes-Benz,SLR Roadster,1,360,1904,2928,1495,1613,Petrol,M,4922,488, ,-1
24,1,BE,DAIMLER AG,DAIMLER AG,E1*2001/11,smart,fortwo cabrio cdi,1,89,913,2025,1171,1390,Diesel,M,723,42, ,-1
25,1,BE,DAIMLER AG,DAIMLER AG,E1*2007/46,MERCEDES,E250CDI,3,168,1925,3117,1442,1631,Diesel,M,1939,159, ,-1
26,1,BE,DAIMLER AG,DAIMLER AG,E1*2001/11,MERCEDES BENZ,C 63 AMG,1,294,1873,2998,1432,1586,Petrol,M,5618,380, ,-1
27,1,BE,DAIMLER AG,DAIMLER AG,E1*2001/11,Mercedes-Benz,R 350 4MATIC,1,288,2369,3486,1478,1636,Petrol,M,3166,212, ,-1
28,1,BE,DAIMLER AG,DAIMLER AG,E1*2001/11,SMART,FORTWO,1,106,861,2025,1152,1398,Petrol,M,904,55, ,-1
29,1,BE,DAIMLER AG,DAIMLER AG,E1*2001/11,MERCEDES,B180CDI,1,163,1534,3013,1411,1584,Diesel,M,1802,85, ,-1
30,1,BE,DAIMLER AG,DAIMLER AG,E1*2001/11,Mercedes-Benz,C 300 CDI 4MATIC,1,191,1810,2993,1414,1559,Diesel,M,2703,181, ,-1
31,1,BE,DAIMLER AG,DAIMLER AG,E1*2007/46,Mercedes-Benz,CLS 500 4MATIC,1,231,2024,3117,1458,1646,Petrol,M,4220,319, ,-1
32,1,BE,DAIMLER AG,DAIMLER AG,E1*2001/11,Mercedes-Benz,C 350,1,164,1685,2993,1414,1559,Petrol,M,3166,239, ,-1
33,1,BE,DAIMLER AG,DAIMLER AG,E1*2001/11,Mercedes-Benz,C 220 CDI,1,158,1680,2993,1414,1559,Diesel,M,1939,127, ,-1
34,1,BE,DAIMLER AG,DAIMLER AG,E1*2007/46,Mercedes-Benz,E 200 NGT,1,199,1810,3117,1446,1631,Petrol,M,1625,127, ,-1
35,1,BE,DAIMLER AG,DAIMLER AG,E1*2001/11,MERCEDES,A180CDI,2,138,1403,2785,1416,1590,Diesel,M,1802,85, ,-1
36,1,BE,DAIMLER AG,DAIMLER AG,E1*2001/11,MERCEDES,C200CDI,1,165,1628,2993,1388,1559,Diesel,M,1944,106, ,-1
37,1,BE,DAIMLER AG,DAIMLER AG,E1*2007/46,Mercedes-Benz,E 63 AMG,3,309,2030,3117,1446,1634,Petrol,M,5618,410, ,-1
38,1,BE,DAIMLER AG,DAIMLER AG,E1*2007/46,Mercedes-Benz,E 250 CGI,1,168,1810,3117,1446,1634,Petrol,M,1625,159, ,-1
39,1,BE,FORD-WERKE GMBH,FORD WERKE GMBH,E13*2001/116*0249*12,FORD,MONDEO,2,190,1607,3091,1450,1650,Petrol,M,1809,114, ,-1
40,1,BE,FORD-WERKE GMBH,FORD WERKE GMBH,E13*2007/46*1138*01,FORD,FOCUS,2,133,1544,2872,1423,1592,Diesel,M,1807,127, ,-1
